state,parameter,scenario,value
-0.025716420387922677,stubbornness,bridge,0.01
0.13307064694667708,stubbornness,bridge,0.01
0.22575831857768855,stubbornness,bridge,0.01
-0.14927118371903353,stubbornness,bridge,0.01
0.19681786880959434,stubbornness,bridge,0.01
0.774321464976958,stubbornness,bridge,0.01
-0.1401442212916969,stubbornness,bridge,0.01
0.2145703988504632,stubbornness,bridge,0.01
0.8265996477976076,stubbornness,bridge,0.01
-0.2907707183388416,stubbornness,bridge,0.01
-0.5813854340736465,stubbornness,bridge,0.01
0.41862454649270703,stubbornness,bridge,0.01
0.4008094288735438,stubbornness,bridge,0.01
-0.4717337509122266,stubbornness,bridge,0.01
-0.9254743202502024,stubbornness,bridge,0.01
0.6300646972335877,stubbornness,bridge,0.01
-0.999382276414923,stubbornness,bridge,0.01
0.4256024683314121,stubbornness,bridge,0.01
0.5629305133293154,stubbornness,bridge,0.01
0.09369482092037902,stubbornness,bridge,0.01
-0.19293621207212575,stubbornness,bridge,0.01
-0.25823430502964245,stubbornness,bridge,0.01
-0.7135026707302882,stubbornness,bridge,0.01
-0.7880492988549883,stubbornness,bridge,0.01
-0.7104679945912908,stubbornness,bridge,0.01
-0.7740267752927905,stubbornness,bridge,0.01
-0.9989430392033317,stubbornness,bridge,0.01
0.514394565456618,stubbornness,bridge,0.01
0.04406644902079343,stubbornness,bridge,0.01
-0.05099973988153847,stubbornness,bridge,0.01
-0.36738710067181246,stubbornness,bridge,0.01
0.054676693813410504,stubbornness,bridge,0.01
-0.9202231256790362,stubbornness,bridge,0.01
0.6231268181281117,stubbornness,bridge,0.01
-0.26351051371974815,stubbornness,bridge,0.01
-0.22635730751006272,stubbornness,bridge,0.01
0.7722540909582195,stubbornness,bridge,0.01
-0.9990678537071993,stubbornness,bridge,0.01
-0.8849992421356835,stubbornness,bridge,0.01
0.9848710457199947,stubbornness,bridge,0.01
-0.09465520869253179,stubbornness,bridge,0.01
-0.18627533841376526,stubbornness,bridge,0.01
-0.6812290233346753,stubbornness,bridge,0.01
-0.9976363489824184,stubbornness,bridge,0.01
-0.12398940907898708,stubbornness,bridge,0.01
0.7888545607149131,stubbornness,bridge,0.01
-0.48180345638559746,stubbornness,bridge,0.01
-0.22488064117975784,stubbornness,bridge,0.01
0.15680363624520918,stubbornness,bridge,0.01
-0.008453559597663945,stubbornness,bridge,0.01
-0.02653961686325998,stubbornness,bridge,0.01
0.7996114355669008,stubbornness,bridge,0.01
0.186742457508657,stubbornness,bridge,0.01
