# avg.std,clstd,avgdegree.degreeSD.mindegree.maxdegree
-2.593349521575352701e-01,1.532372249224707161e-01,1.464582431436719789e-01,1.310399999999999920e+01,6.264538505469998242e+00,6.500000000000000000e+00,3.629999999999999716e+01
-2.615084468958607244e-01,1.568079134981218703e-01,1.501013430089304379e-01,1.317200000000000060e+01,6.276907480208838486e+00,6.500000000000000000e+00,3.629999999999999716e+01
-2.614787466463744936e-01,1.589101816343232165e-01,1.513059080542890622e-01,1.323600000000000065e+01,6.293566772872241977e+00,6.599999999999999645e+00,3.660000000000000142e+01
-2.627905751473174623e-01,1.613622767503324340e-01,1.540188501249531439e-01,1.330000000000000071e+01,6.316594107090980792e+00,6.599999999999999645e+00,3.670000000000000284e+01
-2.652146161053191564e-01,1.622325845840310310e-01,1.543311401399403704e-01,1.337599999999999945e+01,6.320259715696064262e+00,6.599999999999999645e+00,3.670000000000000284e+01
-2.682473950182745481e-01,1.653027789726968788e-01,1.574110261487547402e-01,1.343999999999999773e+01,6.331555974495871375e+00,6.599999999999999645e+00,3.670000000000000284e+01
-2.694405336558439723e-01,1.662536780144465709e-01,1.580632306508481522e-01,1.349599999999999866e+01,6.347804369787882983e+00,6.599999999999999645e+00,3.689999999999999858e+01
-2.706765144710603921e-01,1.685848954209765438e-01,1.596392252517261356e-01,1.355999999999999872e+01,6.360506153490470993e+00,6.700000000000000178e+00,3.710000000000000142e+01
-2.712028220502148979e-01,1.695519753741669411e-01,1.606240328764581837e-01,1.362800000000000011e+01,6.352847307343786554e+00,6.700000000000000178e+00,3.710000000000000142e+01
-2.740664647916403185e-01,1.723645578720579830e-01,1.623597300303195323e-01,1.368399999999999750e+01,6.359971617411956046e+00,6.700000000000000178e+00,3.710000000000000142e+01
-2.768353479300126874e-01,1.744588774005906562e-01,1.645587141873582349e-01,1.375600000000000378e+01,6.364548156219621333e+00,6.700000000000000178e+00,3.710000000000000142e+01
-2.785014022836398984e-01,1.770992456066266818e-01,1.677065866224748680e-01,1.380400000000000205e+01,6.357881344606630236e+00,6.700000000000000178e+00,3.710000000000000142e+01
-2.796904367728948460e-01,1.782564040142485262e-01,1.696064427283981435e-01,1.385599999999999987e+01,6.367308579113839961e+00,6.700000000000000178e+00,3.720000000000000284e+01
-2.816659777254978958e-01,1.789135988974376312e-01,1.700497923699807179e-01,1.392000000000000171e+01,6.373864237246408493e+00,6.700000000000000178e+00,3.720000000000000284e+01
