state,parameter,scenario,value
0.46667171986936296,stubbornness,random,0.01
-0.5053698942682593,stubbornness,random,0.01
-0.4198283267996392,stubbornness,random,0.01
-0.49543992553811894,stubbornness,random,0.01
-0.5581032611185286,stubbornness,random,0.01
-0.1051908487220067,stubbornness,random,0.01
-0.2521319716293632,stubbornness,random,0.01
-0.40880453320473986,stubbornness,random,0.01
-0.10956840243472019,stubbornness,random,0.01
-0.22917672451392962,stubbornness,random,0.01
-0.19164142075356666,stubbornness,random,0.01
-0.0770651510466848,stubbornness,random,0.01
-0.4959475446855142,stubbornness,random,0.01
0.28867633168087886,stubbornness,random,0.01
0.2892392659448083,stubbornness,random,0.01
-0.4841931831092127,stubbornness,random,0.01
0.5317560517662071,stubbornness,random,0.01
-0.08061320140342358,stubbornness,random,0.01
-0.27272433024145964,stubbornness,random,0.01
-0.056240479121167336,stubbornness,random,0.01
-0.11197514862756267,stubbornness,random,0.01
0.39337480063216507,stubbornness,random,0.01
0.28095836543310704,stubbornness,random,0.01
0.1408190922444659,stubbornness,random,0.01
0.24081808861546564,stubbornness,random,0.01
-0.24034519896574139,stubbornness,random,0.01
0.5554649829512525,stubbornness,random,0.01
-0.10158936139092452,stubbornness,random,0.01
-0.5246044667248729,stubbornness,random,0.01
-0.45192797673381174,stubbornness,random,0.01
-0.1149630029639607,stubbornness,random,0.01
0.06002410538944034,stubbornness,random,0.01
-0.4671061589574772,stubbornness,random,0.01
-0.19838539936434063,stubbornness,random,0.01
-0.12665993309243323,stubbornness,random,0.01
-0.35935246099750656,stubbornness,random,0.01
0.18559431559263226,stubbornness,random,0.01
-0.8203363444675115,stubbornness,random,0.01
0.6863977829153892,stubbornness,random,0.01
0.4315254943118111,stubbornness,random,0.01
0.4373524172432952,stubbornness,random,0.01
-0.13531042598742068,stubbornness,random,0.01
0.324271829256688,stubbornness,random,0.01
0.12017943638071298,stubbornness,random,0.01
-0.4614372405062596,stubbornness,random,0.01
0.1525227915509375,stubbornness,random,0.01
-0.7170764051257861,stubbornness,random,0.01
-0.027777004583114658,stubbornness,random,0.01
-0.4725924483548818,stubbornness,random,0.01
0.6084765229966371,stubbornness,random,0.01
0.13401677938770393,stubbornness,random,0.01
-0.25757804369590065,stubbornness,random,0.01
-0.30712331159676953,stubbornness,random,0.01
0.3232899854433207,stubbornness,random,0.01
-0.08516543851708368,stubbornness,random,0.01
-0.44927528846387293,stubbornness,random,0.01
0.31755250100319427,stubbornness,random,0.01
0.32929777186962367,stubbornness,random,0.01
-0.1466200113192567,stubbornness,random,0.01
-0.5106750593526467,stubbornness,random,0.01
0.2731391382620751,stubbornness,random,0.01
0.37184096183705223,stubbornness,random,0.01
0.10839625143679003,stubbornness,random,0.01
-0.16338029761224515,stubbornness,random,0.01
-0.10381271673755865,stubbornness,random,0.01
-0.5229236875158064,stubbornness,random,0.01
0.12927403525423167,stubbornness,random,0.01
-0.5407381117867084,stubbornness,random,0.01
0.1273680885981856,stubbornness,random,0.01
0.0447388085467945,stubbornness,random,0.01
-0.6044086293660786,stubbornness,random,0.01
0.46762051620187783,stubbornness,random,0.01
-0.19182576190763886,stubbornness,random,0.01
-0.273441115351926,stubbornness,random,0.01
-0.45932525854948036,stubbornness,random,0.01
0.15224501793343523,stubbornness,random,0.01
-0.37789139640607744,stubbornness,random,0.01
0.44223335358036675,stubbornness,random,0.01
0.03601255431226235,stubbornness,random,0.01
0.22867715196241178,stubbornness,random,0.01
0.1211666354223237,stubbornness,random,0.01
-0.470997992973354,stubbornness,random,0.01
0.11314611367509018,stubbornness,random,0.01
-0.14270003838031897,stubbornness,random,0.01
0.3645571085123203,stubbornness,random,0.01
0.015227696785435075,stubbornness,random,0.01
0.3083845478389344,stubbornness,random,0.01
-0.04186793137162385,stubbornness,random,0.01
-0.14855392453972696,stubbornness,random,0.01
0.06523877769134119,stubbornness,random,0.01
-0.45505030314172257,stubbornness,random,0.01
-0.2814173284732277,stubbornness,random,0.01
-0.2248532670588726,stubbornness,random,0.01
-0.30886951137267726,stubbornness,random,0.01
0.5394901163297595,stubbornness,random,0.01
0.2972600170791149,stubbornness,random,0.01
0.426414200269986,stubbornness,random,0.01
-0.17290945362583465,stubbornness,random,0.01
-0.36652567999529173,stubbornness,random,0.01
-0.6417453146356757,stubbornness,random,0.01
-0.45446432806902715,stubbornness,random,0.02
-0.061245317254005116,stubbornness,random,0.02
0.296928897533494,stubbornness,random,0.02
0.3646925430833173,stubbornness,random,0.02
-0.787896618878357,stubbornness,random,0.02
0.513488881509839,stubbornness,random,0.02
-0.4569365497791235,stubbornness,random,0.02
0.5508553371009027,stubbornness,random,0.02
-0.1254128116483806,stubbornness,random,0.02
-0.6020348433661793,stubbornness,random,0.02
-0.5153498268107919,stubbornness,random,0.02
0.28391860708747546,stubbornness,random,0.02
-0.2427958088983266,stubbornness,random,0.02
-0.6521342949129643,stubbornness,random,0.02
0.16477074487811796,stubbornness,random,0.02
0.006984963675610362,stubbornness,random,0.02
-0.6079527107862744,stubbornness,random,0.02
0.3574860830380845,stubbornness,random,0.02
-0.4695260278662802,stubbornness,random,0.02
0.057560048956530455,stubbornness,random,0.02
0.227479066790463,stubbornness,random,0.02
0.23167442146641054,stubbornness,random,0.02
0.05562837471037259,stubbornness,random,0.02
0.5582788835515395,stubbornness,random,0.02
-0.38275889967182236,stubbornness,random,0.02
-0.48555790205532384,stubbornness,random,0.02
-0.6816726887483663,stubbornness,random,0.02
-0.6554024268198541,stubbornness,random,0.02
0.5500603563461897,stubbornness,random,0.02
-0.23798835562831525,stubbornness,random,0.02
-0.4655241690943217,stubbornness,random,0.02
0.06065285234856019,stubbornness,random,0.02
-0.36771901642332205,stubbornness,random,0.02
0.5083037221162725,stubbornness,random,0.02
0.3899318462375386,stubbornness,random,0.02
-0.2817153643104857,stubbornness,random,0.02
0.03831615070104362,stubbornness,random,0.02
0.3042961686325516,stubbornness,random,0.02
0.08852551508558476,stubbornness,random,0.02
-0.35654292416430594,stubbornness,random,0.02
-0.04073449548874711,stubbornness,random,0.02
-0.6145531158301798,stubbornness,random,0.02
-0.00917870280956292,stubbornness,random,0.02
0.12766285243307013,stubbornness,random,0.02
-0.294774374608961,stubbornness,random,0.02
0.14963340498597213,stubbornness,random,0.02
0.09352029844585534,stubbornness,random,0.02
0.04399810115042681,stubbornness,random,0.02
-0.5039233836218211,stubbornness,random,0.02
0.002057231496142763,stubbornness,random,0.02
-0.07498562379684699,stubbornness,random,0.02
0.4786477095812188,stubbornness,random,0.02
0.38684978345976473,stubbornness,random,0.02
0.007278475789031447,stubbornness,random,0.02
-0.45229791524878793,stubbornness,random,0.02
0.15808545851944472,stubbornness,random,0.02
-0.8236545346174462,stubbornness,random,0.02
0.6318900416230979,stubbornness,random,0.02
-0.26143775636657324,stubbornness,random,0.02
0.20235597866615515,stubbornness,random,0.02
-0.27352414119045254,stubbornness,random,0.02
-0.008682087471687227,stubbornness,random,0.02
0.0969381108129286,stubbornness,random,0.02
0.2884180500644626,stubbornness,random,0.02
-0.1883398152420653,stubbornness,random,0.02
0.17055083805036572,stubbornness,random,0.02
0.20410262845828894,stubbornness,random,0.02
0.611768998615244,stubbornness,random,0.02
0.3718949111082159,stubbornness,random,0.02
-0.4315667416155901,stubbornness,random,0.02
-0.26802933931306006,stubbornness,random,0.02
0.011791870106287555,stubbornness,random,0.02
-0.15564425932617998,stubbornness,random,0.02
-0.24576059695689104,stubbornness,random,0.02
-0.7970306979860553,stubbornness,random,0.02
-0.2772739108970498,stubbornness,random,0.02
0.3160235127559641,stubbornness,random,0.02
-0.5388421217964389,stubbornness,random,0.02
-0.5518540055327329,stubbornness,random,0.02
-0.25670105755176403,stubbornness,random,0.02
-0.5793717791895714,stubbornness,random,0.02
-0.35589164220931496,stubbornness,random,0.02
-0.6537798447333049,stubbornness,random,0.02
0.7023545564865408,stubbornness,random,0.02
-0.13284443745236607,stubbornness,random,0.02
-0.10149512111662602,stubbornness,random,0.02
-0.536745555584222,stubbornness,random,0.02
0.3642991675898554,stubbornness,random,0.02
-0.48071317800543545,stubbornness,random,0.02
0.20847110696400642,stubbornness,random,0.02
-0.23890911143693808,stubbornness,random,0.02
0.17776802622667873,stubbornness,random,0.02
-0.44591627656771793,stubbornness,random,0.02
0.012906831374290958,stubbornness,random,0.02
0.11796104091318083,stubbornness,random,0.02
0.0888031522795957,stubbornness,random,0.02
-0.12604826183924653,stubbornness,random,0.02
0.5037761348545988,stubbornness,random,0.02
0.4039202380319071,stubbornness,random,0.02
-0.08011053474196098,stubbornness,random,0.02
0.5958505144223124,stubbornness,random,0.03
-0.4753095304334659,stubbornness,random,0.03
-0.018618684699517,stubbornness,random,0.03
0.022843326315989617,stubbornness,random,0.03
-0.018796318630989194,stubbornness,random,0.03
0.10692982038061706,stubbornness,random,0.03
-0.6167001785787674,stubbornness,random,0.03
0.5495588404875912,stubbornness,random,0.03
0.21812146405426525,stubbornness,random,0.03
0.6024587890376217,stubbornness,random,0.03
-0.09847881949898712,stubbornness,random,0.03
-0.44082848862190666,stubbornness,random,0.03
-0.4256026017793395,stubbornness,random,0.03
-0.2076161577809223,stubbornness,random,0.03
-0.40975020732295675,stubbornness,random,0.03
