,state,parameter,scenario,value
115,-0.7071063534981253,stubbornness,random,0.0133110367892976
116,0.2538051299701336,stubbornness,random,0.0133110367892976
117,-0.5415525921408864,stubbornness,random,0.0133110367892976
118,-0.8164112538902882,stubbornness,random,0.0133110367892976
119,-0.330776808081994,stubbornness,random,0.0133110367892976
120,0.1190700376465146,stubbornness,random,0.0133110367892976
121,-0.14146769482263,stubbornness,random,0.0133110367892976
122,0.1499595590306016,stubbornness,random,0.0133110367892976
123,-0.6141954460188499,stubbornness,random,0.0133110367892976
124,-0.4686485180966957,stubbornness,random,0.0133110367892976
125,0.1668655382201462,stubbornness,random,0.0133110367892976
126,-0.3040131903807911,stubbornness,random,0.0133110367892976
127,-0.3343293245740452,stubbornness,random,0.0133110367892976
128,0.3948974878725546,stubbornness,random,0.0133110367892976
129,0.0818882414749606,stubbornness,random,0.0133110367892976
130,-0.4753363983818344,stubbornness,random,0.0133110367892976
131,0.1933574490142284,stubbornness,random,0.0133110367892976
132,0.1643448599089225,stubbornness,random,0.0133110367892976
133,-0.1021891479632289,stubbornness,random,0.0133110367892976
134,-0.6232438036735582,stubbornness,random,0.0133110367892976
135,-0.6280484455696604,stubbornness,random,0.0133110367892976
136,0.0661077751310927,stubbornness,random,0.0133110367892976
137,0.4771390707650171,stubbornness,random,0.0133110367892976
138,0.2004752582166797,stubbornness,random,0.0133110367892976
139,-0.4736542758625172,stubbornness,random,0.0133110367892976
140,0.3159030351718764,stubbornness,random,0.0133110367892976
141,-0.7393801697052002,stubbornness,random,0.0133110367892976
142,-0.1640830353558217,stubbornness,random,0.0133110367892976
143,0.0284694146763946,stubbornness,random,0.0133110367892976
144,-0.3283566515939496,stubbornness,random,0.0133110367892976
145,-0.3638637454768132,stubbornness,random,0.0133110367892976
146,-0.2359329875117586,stubbornness,random,0.0133110367892976
147,-0.1021618818006737,stubbornness,random,0.0133110367892976
148,0.4883640003571525,stubbornness,random,0.0133110367892976
149,-0.0644085469188423,stubbornness,random,0.0133110367892976
150,0.1037379110377933,stubbornness,random,0.0133110367892976
151,-0.2356481414874064,stubbornness,random,0.0133110367892976
152,0.3003374471404644,stubbornness,random,0.0133110367892976
153,-0.0206543048881557,stubbornness,random,0.0133110367892976
154,0.4265964687696217,stubbornness,random,0.0133110367892976
155,-0.2444781416457933,stubbornness,random,0.0133110367892976
156,-0.6520010398372106,stubbornness,random,0.0133110367892976
157,-0.2019145341488536,stubbornness,random,0.0133110367892976
158,-0.7854810801805591,stubbornness,random,0.0133110367892976
159,-0.7843280570480891,stubbornness,random,0.0133110367892976
160,0.3558989684630692,stubbornness,random,0.0133110367892976
161,-0.6837459480095862,stubbornness,random,0.0133110367892976
162,-0.739207699780588,stubbornness,random,0.0133110367892976
163,0.1642274784662429,stubbornness,random,0.0133110367892976
164,-0.8697554453610635,stubbornness,random,0.0133110367892976
165,-0.0710428379515742,stubbornness,random,0.0133110367892976
166,0.0892508852255405,stubbornness,random,0.0133110367892976
167,0.0154936620902228,stubbornness,random,0.0133110367892976
168,-0.1361320147660177,stubbornness,random,0.0133110367892976
169,-0.413543065237767,stubbornness,random,0.0133110367892976
170,-0.3494702313057511,stubbornness,random,0.0133110367892976
171,-0.0200749526189811,stubbornness,random,0.0133110367892976
172,0.7815625030599265,stubbornness,random,0.0133110367892976
173,0.4929050963028237,stubbornness,random,0.0133110367892976
174,0.3539615208832954,stubbornness,random,0.0133110367892976
175,0.1628912982961491,stubbornness,random,0.0133110367892976
176,-0.2567028316205397,stubbornness,random,0.0133110367892976
177,-0.2408183227542668,stubbornness,random,0.0133110367892976
178,-0.0828534788887358,stubbornness,random,0.0133110367892976
179,-0.7320741027238413,stubbornness,random,0.0133110367892976
180,0.1827061898069988,stubbornness,random,0.0133110367892976
181,-0.3319995033938808,stubbornness,random,0.0133110367892976
182,0.4356667523273032,stubbornness,random,0.0133110367892976
183,-0.5042992228110896,stubbornness,random,0.0133110367892976
184,-0.3481851199070213,stubbornness,random,0.0133110367892976
185,-0.6660255642814961,stubbornness,random,0.0133110367892976
186,-0.1087797113086128,stubbornness,random,0.0133110367892976
187,0.301224410340915,stubbornness,random,0.0133110367892976
188,-0.5542817380759315,stubbornness,random,0.0133110367892976
189,0.3276569698273445,stubbornness,random,0.0133110367892976
190,-0.090876633621291,stubbornness,random,0.0133110367892976
191,0.4080474050709635,stubbornness,random,0.0133110367892976
192,0.5739484916299672,stubbornness,random,0.0133110367892976
193,-0.5281789581988185,stubbornness,random,0.0133110367892976
194,-0.8956572099765717,stubbornness,random,0.0133110367892976
195,-0.3803232188745264,stubbornness,random,0.0133110367892976
196,0.2120529162442857,stubbornness,random,0.0133110367892976
197,-0.3238684378606458,stubbornness,random,0.0133110367892976
198,0.0395708087578631,stubbornness,random,0.0133110367892976
199,-0.6169688623584314,stubbornness,random,0.0133110367892976
200,0.5042123839659434,stubbornness,random,0.0166220735785953
201,0.7633526944070012,stubbornness,random,0.0166220735785953
202,-0.1337568474800478,stubbornness,random,0.0166220735785953
203,-0.4146825246757564,stubbornness,random,0.0166220735785953
204,-0.0214946232139453,stubbornness,random,0.0166220735785953
205,0.8916954423244003,stubbornness,random,0.0166220735785953
206,0.1034809708519594,stubbornness,random,0.0166220735785953
207,0.2103856225538795,stubbornness,random,0.0166220735785953
208,0.3977181124698273,stubbornness,random,0.0166220735785953
209,-0.1290561089563759,stubbornness,random,0.0166220735785953
210,-0.3483192054284816,stubbornness,random,0.0166220735785953
211,0.2238486023817905,stubbornness,random,0.0166220735785953
212,-0.2325384790357648,stubbornness,random,0.0166220735785953
213,-0.7385478485014068,stubbornness,random,0.0166220735785953
214,-0.3921420892747486,stubbornness,random,0.0166220735785953
215,0.1075455941052043,stubbornness,random,0.0166220735785953
216,0.5103234120052976,stubbornness,random,0.0166220735785953
217,0.1415058729961127,stubbornness,random,0.0166220735785953
218,-0.3117496535706153,stubbornness,random,0.0166220735785953
219,-0.2908284368982004,stubbornness,random,0.0166220735785953
220,-0.2475588677134004,stubbornness,random,0.0166220735785953
221,-0.465196662072772,stubbornness,random,0.0166220735785953
222,-0.0605761991006925,stubbornness,random,0.0166220735785953
223,0.1403246937152516,stubbornness,random,0.0166220735785953
224,-0.1782301306593475,stubbornness,random,0.0166220735785953
225,-0.1006554302367787,stubbornness,random,0.0166220735785953
226,-0.2997743462998213,stubbornness,random,0.0166220735785953
227,-0.4648204463897909,stubbornness,random,0.0166220735785953
228,0.0518591495222675,stubbornness,random,0.0166220735785953
229,0.1761743531419851,stubbornness,random,0.0166220735785953
230,0.3889769534910023,stubbornness,random,0.0166220735785953
231,-0.0765499831303795,stubbornness,random,0.0166220735785953
232,0.1959218795008354,stubbornness,random,0.0166220735785953
233,-0.6137050931995646,stubbornness,random,0.0166220735785953
234,-0.0495859678965157,stubbornness,random,0.0166220735785953
235,-0.4219893350076719,stubbornness,random,0.0166220735785953
236,-0.092723491210326,stubbornness,random,0.0166220735785953
237,-0.0820702702861787,stubbornness,random,0.0166220735785953
238,0.2692089603577828,stubbornness,random,0.0166220735785953
239,-0.1776269192866017,stubbornness,random,0.0166220735785953
240,0.3082142327362689,stubbornness,random,0.0166220735785953
241,-0.119689355666834,stubbornness,random,0.0166220735785953
242,0.3940990036424686,stubbornness,random,0.0166220735785953
243,-0.6445683812065471,stubbornness,random,0.0166220735785953
244,-0.1967915342392229,stubbornness,random,0.0166220735785953
245,0.3124568898975065,stubbornness,random,0.0166220735785953
246,0.0971805036027268,stubbornness,random,0.0166220735785953
247,-0.2218790662998953,stubbornness,random,0.0166220735785953
248,0.2862961416142677,stubbornness,random,0.0166220735785953
