state,parameter,scenario,value
0.23597181841128642,stubbornness,random,0.01
0.4576368729676802,stubbornness,random,0.01
0.5072149116581464,stubbornness,random,0.01
0.02886052581539671,stubbornness,random,0.01
-0.08626493413691616,stubbornness,random,0.01
-0.24939221089635488,stubbornness,random,0.01
0.13527164047709206,stubbornness,random,0.01
0.08292170755124668,stubbornness,random,0.01
0.5516056328134227,stubbornness,random,0.01
-0.49418552406573374,stubbornness,random,0.01
-0.1836735989670534,stubbornness,random,0.01
-0.33406378811262494,stubbornness,random,0.01
0.3036458144668522,stubbornness,random,0.01
0.13668062268703174,stubbornness,random,0.01
-0.44751270050929265,stubbornness,random,0.01
-0.07666393653842299,stubbornness,random,0.01
-0.03904045281418927,stubbornness,random,0.01
-0.6748897934818002,stubbornness,random,0.01
0.3448743926175559,stubbornness,random,0.01
0.5374057595943625,stubbornness,random,0.01
-0.9367425649688855,stubbornness,random,0.01
0.12744987959215917,stubbornness,random,0.01
-0.1342116933562435,stubbornness,random,0.01
-0.47214783769678914,stubbornness,random,0.01
0.20703807312626687,stubbornness,random,0.01
0.0409387894639883,stubbornness,random,0.01
0.1611417304607545,stubbornness,random,0.01
-0.25348216944606367,stubbornness,random,0.01
-0.19986238359848557,stubbornness,random,0.01
-0.4186580565640907,stubbornness,random,0.01
-0.4128212771943962,stubbornness,random,0.01
-0.435916030929756,stubbornness,random,0.01
0.39000781435559373,stubbornness,random,0.01
0.09735346969331622,stubbornness,random,0.01
0.19876908105676072,stubbornness,random,0.01
-0.18565076998319296,stubbornness,random,0.01
-0.41775999727755453,stubbornness,random,0.01
0.031056919683216718,stubbornness,random,0.01
-0.4277710570865819,stubbornness,random,0.01
-0.15497702177191547,stubbornness,random,0.01
0.7447887687778794,stubbornness,random,0.01
-0.5811563417345056,stubbornness,random,0.01
-0.07647571801343545,stubbornness,random,0.01
-0.22329090370636887,stubbornness,random,0.01
-0.2620428000617032,stubbornness,random,0.01
0.3671265664214208,stubbornness,random,0.01
-0.15547931020119404,stubbornness,random,0.01
0.3308041612306848,stubbornness,random,0.01
-0.08077788837835619,stubbornness,random,0.01
0.08879586239286441,stubbornness,random,0.01
-0.36186928115916356,stubbornness,random,0.01
0.2677727672871819,stubbornness,random,0.01
0.10254959390362713,stubbornness,random,0.01
0.38400847069564414,stubbornness,random,0.01
-0.22542486063439104,stubbornness,random,0.01
-0.38021827440181183,stubbornness,random,0.01
-0.01143334891789157,stubbornness,random,0.01
0.1813258399866147,stubbornness,random,0.01
-0.6498848497122355,stubbornness,random,0.01
0.30930106223877385,stubbornness,random,0.01
-0.08264781922221065,stubbornness,random,0.01
-0.060096503204754376,stubbornness,random,0.01
-0.24282599814982006,stubbornness,random,0.01
0.12321925362654444,stubbornness,random,0.01
0.19923906719031223,stubbornness,random,0.01
0.4097641009208248,stubbornness,random,0.01
0.0012564965318839648,stubbornness,random,0.01
-0.602011749898713,stubbornness,random,0.01
-0.38692613679595794,stubbornness,random,0.01
0.04153038540190414,stubbornness,random,0.01
-0.013565640825382114,stubbornness,random,0.01
-0.3008560884150698,stubbornness,random,0.01
0.6320917937184741,stubbornness,random,0.01
-0.26509209231820285,stubbornness,random,0.01
0.10048930894533173,stubbornness,random,0.01
-0.09146598367357951,stubbornness,random,0.01
-0.28094557893387145,stubbornness,random,0.01
