# avg.std,clstd,avgdegree.degreeSD.mindegree.maxdegree
-2.386222360897429229e-01,1.407518575224785684e-01,1.399082665605471121e-01,1.306799999999999784e+01,6.247540628659424833e+00,6.200000000000000178e+00,3.650000000000000000e+01
-2.397126243759234165e-01,1.422569467652438358e-01,1.411111307659975167e-01,1.311999999999999922e+01,6.258918141961513193e+00,6.200000000000000178e+00,3.660000000000000142e+01
-2.418627451665280037e-01,1.445339595332700566e-01,1.430324803119790433e-01,1.318399999999999750e+01,6.263411886055243905e+00,6.299999999999999822e+00,3.660000000000000142e+01
-2.434566992078067427e-01,1.456859503535625489e-01,1.437845536211773689e-01,1.324399999999999977e+01,6.280674650610948540e+00,6.500000000000000000e+00,3.670000000000000284e+01
-2.438935747227124473e-01,1.479713595462346931e-01,1.455893692781829729e-01,1.329200000000000159e+01,6.295967204143463114e+00,6.500000000000000000e+00,3.670000000000000284e+01
-2.448828563046469564e-01,1.487912839356422823e-01,1.467038480467083850e-01,1.335599999999999987e+01,6.289312064593207019e+00,6.700000000000000178e+00,3.670000000000000284e+01
-2.464966277427853569e-01,1.519227404784647129e-01,1.500908309714265032e-01,1.342000000000000171e+01,6.298480127991174626e+00,6.700000000000000178e+00,3.679999999999999716e+01
-2.478797821418000369e-01,1.529573016731833046e-01,1.508259709899440471e-01,1.347199999999999953e+01,6.313164889175977734e+00,6.700000000000000178e+00,3.679999999999999716e+01
-2.496055202158897757e-01,1.541441037848684803e-01,1.521967441141803268e-01,1.353200000000000003e+01,6.319537803648433538e+00,6.700000000000000178e+00,3.679999999999999716e+01
-2.522275995025268225e-01,1.542248113437704182e-01,1.508770758189399430e-01,1.359599999999999831e+01,6.345072037651608987e+00,6.700000000000000178e+00,3.700000000000000000e+01
-2.535091623505546510e-01,1.557178762436131625e-01,1.515062455556840659e-01,1.365600000000000058e+01,6.340762369289945966e+00,6.700000000000000178e+00,3.700000000000000000e+01
-2.550278626293088768e-01,1.562537731213844427e-01,1.523402916742135349e-01,1.372000000000000242e+01,6.344536218489115420e+00,6.700000000000000178e+00,3.700000000000000000e+01
