state,state_std,political_climate,rewiring,mode,topology
-0.8310919854034617,0.5177440661120044,0.0,diff,biased,DPAH
-0.9946591911110184,0.010990960192081596,0.0,diff,biased,DPAH
-0.6126460587930977,0.7628239188231235,0.0,diff,biased,DPAH
-0.974528568751399,0.017694396912455473,0.0,diff,biased,DPAH
-0.7820229242339878,0.6033262964131412,0.0,diff,biased,DPAH
-0.991780772947551,0.01422892916763699,0.0,diff,biased,DPAH
-0.9720861468341829,0.01729536591830846,0.0,diff,biased,DPAH
0.14132281903156754,0.9571976236506731,0.0,diff,biased,DPAH
0.8265332064872262,0.5336290623852921,0.0,diff,biased,DPAH
-0.53999304733725,0.8130301567045786,0.0,diff,biased,DPAH
-0.8015246623474067,0.5668614198023052,0.0,diff,biased,DPAH
-0.9920722769650011,0.012595252141513658,0.0,diff,biased,DPAH
-0.9829736832085453,0.01564568430883088,0.0,diff,biased,DPAH
-0.5445067467667042,0.8078416161205868,0.0,diff,biased,DPAH
-0.981881313510946,0.13694145192895021,0.0,diff,biased,DPAH
-0.9723108134303436,0.021457328263917736,0.0,diff,biased,DPAH
-0.9785133086974487,0.016031597652698154,0.0,diff,biased,DPAH
-0.2217947039879183,0.9415956965758336,0.0,diff,biased,DPAH
-0.5500022224836925,0.8053294412834158,0.0,diff,biased,DPAH
0.22140118392839747,0.9438544936200116,0.0,diff,biased,DPAH
-0.981837953729473,0.01634133064491066,0.0,diff,biased,DPAH
-0.6904145036424612,0.6930666822892935,0.0,diff,biased,DPAH
-0.11167945593587549,0.9568542048303883,0.0,diff,biased,DPAH
-0.9805547115887299,0.015825005192744372,0.0,diff,biased,DPAH
-0.6587113941234296,0.7244893467334989,0.0,diff,biased,DPAH
-0.6653854805338701,0.7203165799372655,0.0,diff,biased,DPAH
-0.9921319795487895,0.01290355671180747,0.0,diff,biased,DPAH
-0.348208205981279,0.9061739597763433,0.0,diff,biased,DPAH
-0.8172083402991812,0.5484323413594023,0.0,diff,biased,DPAH
-0.8073969322725659,0.5533262578180741,0.0,diff,biased,DPAH
-0.403652677518627,0.8846918260238542,0.0,diff,biased,Twitter
-0.9883343213630664,0.01566228475975404,0.0,diff,biased,Twitter
-0.8124560339879013,0.5533827119296657,0.0,diff,biased,Twitter
-0.6216691920029017,0.7471157587959563,0.0,diff,biased,Twitter
-0.8583079478619782,0.48978752701876854,0.0,diff,biased,Twitter
0.08910500510635858,0.9632239208806284,0.0,diff,biased,Twitter
-0.9348267049941504,0.3287132252543564,0.0,diff,biased,Twitter
