,avgdegree,degreeSD,mindegree,maxdegree,scenario,rewiring,type
83,11.31875,5.738511918090156,1.0,28.75,biased,diff,FB
84,11.31875,5.738511918090156,1.0,28.75,biased,diff,FB
85,11.325000000000001,5.753111181404375,1.0,28.875,biased,diff,FB
86,11.325000000000001,5.750889636483514,1.0,28.875,biased,diff,FB
87,11.33125,5.758634950877999,1.0,28.875,biased,diff,FB
88,11.33125,5.758634950877999,1.0,28.875,biased,diff,FB
89,11.3375,5.755444807591465,1.0,28.875,biased,diff,FB
90,11.3375,5.755444807591465,1.0,28.875,biased,diff,FB
91,11.343750000000002,5.757489520228617,1.0,28.875,biased,diff,FB
92,11.343750000000002,5.759109637295708,1.0,28.875,biased,diff,FB
93,11.343750000000002,5.759109637295708,1.0,28.875,biased,diff,FB
94,11.356250000000001,5.76187217109127,1.0,28.875,biased,diff,FB
95,11.356250000000001,5.763467469023448,1.0,28.875,biased,diff,FB
96,11.375,5.764531857308196,1.125,28.875,biased,diff,FB
97,11.375,5.764531857308196,1.125,28.875,biased,diff,FB
98,11.375,5.763458054689815,1.125,28.875,biased,diff,FB
99,11.39375,5.760639359536976,1.125,28.875,biased,diff,FB
100,12.375,5.600530468618709,5.75,31.25,biased,diff,cl
101,12.38125,5.601254028308504,5.75,31.25,biased,diff,cl
102,12.39375,5.59513977485517,5.75,31.25,biased,diff,cl
103,12.4,5.596971865637293,5.75,31.25,biased,diff,cl
104,12.4,5.596971865637293,5.75,31.25,biased,diff,cl
105,12.40625,5.598886802678681,5.75,31.25,biased,diff,cl
106,12.418750000000001,5.602227652731992,5.75,31.25,biased,diff,cl
107,12.43125,5.5989650155435156,5.75,31.375,biased,diff,cl
108,12.4375,5.595336599471555,5.75,31.375,biased,diff,cl
109,12.45,5.589931893475546,5.75,31.375,biased,diff,cl
110,12.45,5.584614113035192,5.75,31.375,biased,diff,cl
111,12.45,5.584614113035192,5.75,31.375,biased,diff,cl
112,12.45,5.585207096492635,5.75,31.375,biased,diff,cl
113,12.45,5.585207096492635,5.75,31.375,biased,diff,cl
114,12.45,5.585207096492635,5.75,31.375,biased,diff,cl
115,12.45,5.581434374553783,5.75,31.375,biased,diff,cl
116,12.45,5.581434374553783,5.75,31.375,biased,diff,cl
117,12.456249999999999,5.591122944176011,5.625,31.375,biased,diff,cl
118,12.456249999999999,5.584844122125556,5.625,31.375,biased,diff,cl
119,12.456249999999999,5.583873231689503,5.625,31.375,biased,diff,cl
120,12.456249999999999,5.583873231689503,5.625,31.375,biased,diff,cl
121,12.462499999999999,5.583370752459863,5.625,31.375,biased,diff,cl
122,12.462499999999999,5.583370752459863,5.625,31.375,biased,diff,cl
123,12.462499999999999,5.582239796622548,5.625,31.375,biased,diff,cl
124,12.462499999999999,5.582239796622548,5.625,31.375,biased,diff,cl
125,12.468749999999998,5.568966776129561,5.625,31.375,biased,diff,cl
126,12.474999999999998,5.558017988870077,5.625,31.375,biased,diff,cl
127,12.481249999999998,5.565420421134512,5.625,31.375,biased,diff,cl
128,12.481249999999998,5.564934829486298,5.625,31.375,biased,diff,cl
129,12.481249999999998,5.564934829486298,5.625,31.375,biased,diff,cl
130,12.481249999999998,5.557617283181716,5.625,31.375,biased,diff,cl
131,12.487499999999999,5.551155288865244,5.625,31.375,biased,diff,cl
