network_class,pct_better_vs_static_rate,pct_better_vs_static_coop,algorithms_count,avg_cooperativity,avg_polarization
directed,91.69520547945206,75.0,1168,0.45444904570729483,0.8293716065274369
undirected,70.03089598352214,49.94850669412976,971,0.5424342676374293,0.7977129612247227
